order_id,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,productid,unitprice,quantity,discount,year,month,day,year_be,gross_sales,net_sales,discount_amount,has_discount,shipping_type,order_size,order_date,month_name
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,72,34.8,5,0.0,1996,7,4,2539,174.0,174.0,0.0,N,MEDIUM_COST,SMALL,1996-07-04,Jul
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,42,9.8,10,0.0,1996,7,4,2539,98.0,98.0,0.0,N,MEDIUM_COST,MEDIUM,1996-07-04,Jul
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,11,14.0,12,0.0,1996,7,4,2539,168.0,168.0,0.0,N,MEDIUM_COST,MEDIUM,1996-07-04,Jul
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,51,42.4,40,0.0,1996,7,5,2539,1696.0,1696.0,0.0,N,LOW_COST,LARGE,1996-07-05,Jul
10249,TOMSP,6,1996-07-05,1996-08-16,1996-07-10,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,14,18.6,9,0.0,1996,7,5,2539,167.4,167.4,0.0,N,LOW_COST,SMALL,1996-07-05,Jul
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,65,16.8,15,0.15,1996,7,8,2539,252.0,214.2,37.8,Y,HIGH_COST,MEDIUM,1996-07-08,Jul
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,51,42.4,35,0.15,1996,7,8,2539,1484.0,1261.3999999999999,222.6,Y,HIGH_COST,LARGE,1996-07-08,Jul
10250,HANAR,4,1996-07-08,1996-08-05,1996-07-12,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,41,7.7,10,0.0,1996,7,8,2539,77.0,77.0,0.0,N,HIGH_COST,MEDIUM,1996-07-08,Jul
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,65,16.8,20,0.0,1996,7,8,2539,336.0,336.0,0.0,N,MEDIUM_COST,MEDIUM,1996-07-08,Jul
10251,VICTE,3,1996-07-08,1996-08-05,1996-07-15,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,57,15.6,15,0.05,1996,7,8,2539,234.0,222.29999999999998,11.700000000000001,Y,MEDIUM_COST,MEDIUM,1996-07-08,Jul
